tconst,primaryTitle,startYear,runtimeMinutes,genres
tt0000009,Miss Jerry,1894,45,Romance
tt0000147,The Corbett-Fitzsimmons Fight,1897,100,"Documentary,News,Sport"
tt0000502,Bohemios,1905,100,\N
tt0000574,The Story of the Kelly Gang,1906,70,"Action,Adventure,Biography"
tt0000591,The Prodigal Son,1907,90,Drama
tt0000615,Robbery Under Arms,1907,\N,Drama
tt0000630,Hamlet,1908,\N,Drama
tt0000675,Don Quijote,1908,\N,Drama
tt0000679,The Fairylogue and Radio-Plays,1908,120,"Adventure,Fantasy"
tt0000838,A Cultura do Cacau,1909,\N,\N
tt0000842,De Garraf a Barcelona,1909,\N,\N
tt0000846,Un día en Xochimilco,1909,\N,\N
tt0000850,Los dos hermanos,1909,\N,\N
tt0000859,Fabricación del corcho en Sant Feliu de Guixols,1909,\N,\N
tt0000862,Faldgruben,1909,\N,\N
tt0000867,Fiesta de toros,1909,\N,\N
tt0000868,Fiestas de Santa Lucía - Belenes,1909,\N,\N
tt0000869,Fiestas en La Garriga,1909,\N,\N
tt0000879,Gira política de Madero y Pino Suárez,1909,\N,\N
tt0000886,"Hamlet, Prince of Denmark",1910,\N,Drama
tt0000941,Locura de amor,1909,45,Drama
tt0000947,Lægens offer,1909,\N,\N
tt0000959,Melilla y el Gurugu,1909,\N,\N
tt0000984,Niños en la alameda,1909,\N,\N
tt0001007,La primera y segunda casetas,1909,\N,\N
tt0001010,Protección de un convoy de víveres en el puente de camellos,1909,\N,\N
tt0001028,Salome Mad,1909,\N,Comedy
tt0001038,Sherlock Holmes VI,1910,\N,\N
tt0001043,Smith's Knockabout Theatre,1909,\N,\N
tt0001049,Gøngehøvdingen,1909,\N,"Drama,War"
tt0001051,El sueño milagroso,1909,\N,\N
tt0001059,O Terremoto de Benavente,1909,\N,Documentary
tt0001069,Toma del Gurugu,1909,\N,\N
tt0001080,Two of the Boys,1909,\N,\N
tt0001081,La vida en el campamento,1909,\N,\N
tt0001082,Viernes de dolores,1909,\N,\N
tt0001101,Abraham Lincoln's Clemency,1910,\N,\N
tt0001109,L'aluminite,1910,\N,\N
tt0001112,Hamlet,1910,\N,Drama
tt0001113,Amor gitano,1910,\N,\N
tt0001115,Ansigttyven I,1910,\N,Crime
tt0001116,Ansigttyven II,1910,\N,\N
tt0001122,The Red Inn,1910,\N,\N
tt0001141,The Butterfly,1910,\N,\N
tt0001142,By Order of Napoleon,1910,\N,\N
tt0001147,O Centenário da Guerra Peninsular,1910,\N,Documentary
tt0001159,The Connecticut Yankee,1910,\N,\N
tt0001163,Corrida da Rampa,1910,\N,Documentary
tt0001175,Camille,1912,\N,"Drama,Romance"
tt0001179,Desfile histórico del centenario,1910,\N,\N
tt0001184,Don Juan de Serrallonga,1910,58,"Adventure,Drama"
tt0001203,Excursión al Gombreny,1910,\N,\N
tt0001230,Gentleman Joe,1910,\N,\N
tt0001240,Hamlet,1911,\N,Drama
tt0001247,His Brother's Wife,1910,\N,\N
tt0001277,Kapergasten,1910,\N,Drama
tt0001285,The Life of Moses,1909,50,"Biography,Drama,Family"
tt0001338,A Night in May,1910,\N,Drama
tt0001341,Jarní sen starého mládence,1913,\N,Comedy
tt0001348,Orientalsk dans,1910,\N,\N
tt0001359,A Pesca do Bacalhau,1910,\N,Documentary
tt0001364,El pobre Valbuena,1910,\N,\N
tt0001366,Un portero modelo,1910,\N,\N
tt0001370,Rainha Depois de Morta Inês de Castro,1910,\N,"Drama,History"
tt0001379,A Record Hustle Through Foggy London,1910,\N,\N
tt0001382,Revolução de 5 de Outubro,1910,\N,Documentary
tt0001386,Le roi des parfums,1910,\N,\N
tt0001422,Trail to the West,1910,\N,\N
tt0001440,Valdemar Sejr,1910,\N,"Drama,History"
tt0001465,As Últimas Inundações do Tejo em Santarém,1910,\N,\N
tt0001475,Amor fatal,1911,\N,"Drama,Romance"
tt0001495,A Balkan Episode,1911,\N,\N
tt0001498,The Battle of Trafalgar,1911,51,War
tt0001515,The Brand,1911,\N,\N
tt0001530,The Bushranger's Bride,1911,\N,Drama
tt0001531,"Captain Starlight, or Gentleman of the Road",1911,\N,\N
tt0001555,Cortejo Cívico,1911,\N,\N
tt0001586,A Dog's Tale,1911,\N,\N
tt0001592,In the Prime of Life,1911,52,Drama
tt0001602,El fantasma del castillo,1911,\N,\N
tt0001603,Den farlige leg,1911,\N,Drama
tt0001604,The Fatal Wedding,1911,\N,Drama
tt0001614,The Four Devils,1911,60,Drama
tt0001628,The Four Poster Pest,1911,\N,\N
tt0001630,Der fremde Vogel,1911,45,\N
tt0001648,The Golden West,1911,\N,\N
tt0001706,The Infant at Snakeville,1911,\N,\N
tt0001711,Jahreszeiten des Lebens,1915,\N,\N
tt0001712,Jane Shore,1911,\N,\N
tt0001716,Julius Caesar's Sandals,1911,\N,\N
tt0001731,The Convict Hero,1911,\N,Drama
tt0001756,Lucha por la herencia,1911,92,\N
tt0001764,Madero al sur del país,1911,\N,\N
tt0001778,Menneskedyret,1911,\N,\N
tt0001785,The Miner's Curse,1911,\N,Drama
tt0001790,"Les Misérables, Part 1: Jean Valjean",1913,60,Drama
tt0001803,The Mystery of a Hansom Cab,1911,\N,\N
tt0001812,Oedipus Rex,1911,56,Drama
tt0001889,Skæbnebæltet,1911,\N,\N
tt0001892,Den sorte drøm,1911,53,Drama
