imdbID,title,year,released,runtime,genre,director,writer,actors,plot,language,country,metascore,boxOffice,production
tt0008693,Transgression,1917,20 Aug 1917,50 min,Drama,Paul Scardon,"J. Stuart Blackton, Cyrus Townsend Brady, Edward J. Montagne","Earle Williams, Billie Billings, Webster Campbell","Hal Page, the weakling brother of Stephen Page, the town mayor, falls in love with Carline Shrefton, who throws over Burt Staley to entangle Hal in her self-serving schemes. Furious over her abrupt departure, Staley shows up at Ca...",None,United States,,,
tt0005694,The Man Who Beat Dan Dolan,1915,01 Jun 1915,,Drama,J.J. Mahony,Junie McCree (scenario),"Willie Richie, Betty Marshall, William Vaughn, Lew Ritchie",,English,USA,,,
tt0011978,Blind Hearts,1921,03 Oct 1921,60 min,Drama,Rowland V. Lee,"Emilie Johnson, Joseph F. Poland","Hobart Bosworth, Wade Boteler, Irene Blackwell","In 1898 friends John Thomas and Lars Larson travel to the Yukon with their wives to make their fortunes. While in Alaska Thomas' wife gives birth to a boy, and Larson's wife has a girl, Julia. However, Larson spots a birthmark on his daughter's shoulder that resembles one on Thomas' shoulder, and he begins to suspect that he may not actually be the girl's father. Over the next 20 years the two become millionaires, but Larson's wife dies. Julia and Thomas fall in love and wish to marry, but Larson is determined to oppose it. Complications ensue.","None, English",United States,,,
tt0023629,Two Seconds,1932,28 May 1932,67 min,"Crime, Drama, Thriller",Mervyn LeRoy,"Elliott Lester, Harvey F. Thew","Edward G. Robinson, Vivienne Osborne, Guy Kibbee",Allen claims he his being executed for the wrong murder. Flashbacks show him working with Clark as a riveter. When he makes a killing on the horses he meets Shirley and gets married. When Clark tells him Shirley is unfaithful they fight and Clark falls to his death. Later he finds that Clark was telling the truth.,English,United States,,,
tt0018405,The Silver Slave,1927,12 Nov 1927,70 min,Drama,Howard Bretherton,"Anthony Coldeway, Peter Milne, Howard Smith","Irene Rich, Audrey Ferris, Holmes Herbert","Bernice Randall, who has forsaken the love of her sweetheart, Tom Richards, to marry for wealth, turns down Richards' proposal after the death of her husband, and she is denounced by him as a slave to silver. Lavishing the greater part of her fortune on her daughter, Janet, Bernice determines to give her the advantages she herself lacked. Despite her mother's disapproval, Janet scorns the affection of Larry Martin, a life-long friend, after meeting Philip Caldwell, a wealthy sophisticate. Worried over Janet's growing attachment to Philip, Bernice determines to win Caldwell from her daughter, and in a confrontation involving the girl and Richards, now a millionaire, Janet is disillusioned in her mother and Caldwell. Learning of her mother's sacrifice, Janet forgives her and finds happiness with Larry.","None, English",United States,,,
tt0020327,El rey que rabió,1929,,101 min,,José Buchs,"Vital Aza (story), José Buchs, Antonio Paso, Miguel Ramos Carrión (story)","María Anaya, José Ballester, Pedro Barreto, José Montenegro",,,Spain,,,
tt0014725,Bluff,1924,12 May 1924,60 min,Drama,Sam Wood,"Willis Goldbeck, Josephine Quirk (story), Rita Weiman (story)","Agnes Ayres, Antonio Moreno, Fred J. Butler, Clarence Burton",,English,USA,,,
tt0023880,Chance at Heaven,1933,27 Oct 1933,71 min,"Drama, Romance",William A. Seiter,"Julien Josephson, Sarah Y. Mason, Viña Delmar","Ginger Rogers, Joel McCrea, Marian Nixon","Blackstone 'Blacky' Gorman, rising service station owner, is blessed with the devotion of supremely sweet and noble Marje Harris, but he meets coquettish and silly debutante Glory Franklyn and, between Glory's charm and his social ambition, is snared into an upscale marriage that proves to have its downside.",English,United States,,,
tt0021096,Lousa,1930,29 Sep 1930,,Documentary,,,,,,Portugal,,,
tt0018518,Two Girls Wanted,1927,11 Sep 1927,70 min,"Comedy, Drama",Alfred E. Green,"Malcolm Stuart Boylan, Randall Faye, Seton I. Miller","Janet Gaynor, Glenn Tryon, Ben Bard","Marianna Miller, dressing as a boy to seek employment in the city, becomes involved with a gang of ruffians; and when she hits Dexter Wright, a young businessman, with a tomato, he detects her disguise and helps her obtain a secretarial position with his competitor. Misunderstanding his interests in her girl friend, Edna, Marianna and her pal answer an advertisement for two girls wanted--a maid and a cook--and end up as servants in the country house of Dexter's uncle. Marianna learns of a plan to swindle Dexter's uncle, and in the process, she and Dexter fall in love. .",English,United States,,,
